Size,ITEM,Kj,Calories,Fat,Carbs,Protein
500,Blackcurrant Peanut butter,2613.38,626.7098321,30.0925,47.955,42.335
500,Strawberry Banana,1217.555,291.9796163,4.31,35.92,29.06
500,Peanutbutter banana,2694.695,646.2098321,30.01,53.67,41.96
500,Protein Shake with Water,474,113.6690647,1.86,2.67,20.91
500,Protein Shake with Milk,836,200.4796163,3.86,12.67,27.71
350,Blackcurrant Peanut butter,1829.366,438.6968825,21.06475,33.5685,29.6345
350,Strawberry Banana,852.2885,204.3857314,3.017,25.144,20.342
350,Peanutbutter banana,1886.2865,452.3468825,21.007,37.569,29.372
350,Protein Shake with Water,,,,,
350,Protein Shake with Milk,,,,,
250,Blackcurrant Peanut butter,1306.69,313.3549161,15.04625,23.9775,21.1675
250,Strawberry Banana,608.7775,145.9898082,2.155,17.96,14.53
250,Peanutbutter banana,1347.3475,323.1049161,15.005,26.835,20.98
250,Protein Shake with Water,,,,,
250,Protein Shake with Milk,,,,,