ItemType,Size,Item,Kj,Calories,Fat,Carbs,Protein
Protein Smoothies,500,Blackcurrant Peanut butter,2613.4,626.7,30.1,48.0,42.3
Protein Smoothies,500,Strawberry Banana,1217.6,292.0,4.3,35.9,29.1
Protein Smoothies,500,Peanutbutter banana,2694.7,646.2,30.0,53.7,42.0
Protein Smoothies,500,Protein Shake with Water,474.0,113.7,1.9,2.7,20.9
Protein Smoothies,500,Protein Shake with Milk,836.0,200.5,3.9,12.7,27.7
Protein Smoothies,350,Blackcurrant Peanut butter,1829.4,438.7,21.1,33.6,29.6
Protein Smoothies,350,Strawberry Banana,852.3,204.4,3.0,25.1,20.3
Protein Smoothies,350,Peanutbutter banana,1886.3,452.3,21.0,37.6,29.4
Protein Smoothies,350,Protein Shake with Water,,,,,
Protein Smoothies,350,Protein Shake with Milk,,,,,
Protein Smoothies,250,Blackcurrant Peanut butter,1306.7,313.4,15.0,24.0,21.2
Protein Smoothies,250,Strawberry Banana,608.8,146.0,2.2,18.0,14.5
Protein Smoothies,250,Peanutbutter banana,1347.3,323.1,15.0,26.8,21.0
Protein Smoothies,250,Protein Shake with Water,,,,,
Protein Smoothies,250,Protein Shake with Milk,,,,,
Creamy Smoothies,500,Blackcurrant,1669.7,400.4,12.8,60.2,11.3
Creamy Smoothies,500,Strawberry,1544.6,370.4,12.7,52.8,10.4
Creamy Smoothies,500,Mango Madness,1657.2,397.4,12.8,59.8,10.5
Creamy Smoothies,500,Choc Nut,2268.0,543.9,27.6,63.9,14.5
Creamy Smoothies,500,Chocolate Coffee,,,,,
Creamy Smoothies,500,Peanut Butter Banana,2577.6,618.1,29.1,70.8,18.4
Creamy Smoothies,500,Chocolate Chilli Cherry,,,,,
Creamy Smoothies,500,Banana Nut Vegan,1913.4,458.9,19.6,65.8,11.1
Creamy Smoothies,500,Berry and Dates Vegan,938.8,225.1,3.3,51.5,3.2
Creamy Smoothies,350,Blackcurrant,1168.8,280.3,9.0,42.1,7.9
Creamy Smoothies,350,Strawberry,1081.2,259.3,8.9,37.0,7.3
Creamy Smoothies,350,Mango Madness,1160.0,278.2,9.0,41.9,7.3
Creamy Smoothies,350,Choc Nut,1587.6,380.7,19.3,44.7,10.1
Creamy Smoothies,350,Chocolate Coffee,,,,,
Creamy Smoothies,350,Peanut Butter Banana,1804.3,432.7,20.4,49.6,12.9
Creamy Smoothies,350,Chocolate Chilli Cherry,,,,,
Creamy Smoothies,350,Banana Nut Vegan,1339.4,321.2,13.7,46.0,7.8
Creamy Smoothies,350,Berry and Dates Vegan,657.2,157.6,2.3,36.1,2.3
Creamy Smoothies,250,Blackcurrant,834.9,200.2,6.4,30.1,5.6
Creamy Smoothies,250,Strawberry,772.3,185.2,6.3,26.4,5.2
Creamy Smoothies,250,Mango Madness,828.6,198.7,6.4,29.9,5.2
Creamy Smoothies,250,Choc Nut,1134.0,271.9,13.8,32.0,7.2
Creamy Smoothies,250,Chocolate Coffee,,,,,
Creamy Smoothies,250,Peanut Butter Banana,1288.8,309.1,14.5,35.4,9.2
Creamy Smoothies,250,Chocolate Chilli Cherry,,,,,
Creamy Smoothies,250,Banana Nut Vegan,956.7,229.4,9.8,32.9,5.6
Creamy Smoothies,250,Berry and Dates Vegan,469.4,112.6,1.6,25.8,1.6
Non-Dairy Smoothies,500,Cherry Granadillia,706.5,169.4,0.9,40.7,1.0
Non-Dairy Smoothies,500,Cherry Lemon,733.6,175.9,0.9,42.6,1.0
Non-Dairy Smoothies,500,Mixed Berry Mango,691.9,165.9,1.0,40.0,0.8
Non-Dairy Smoothies,500,Kiwi Litchi,714.8,171.4,1.1,41.0,1.3
Non-Dairy Smoothies,500,Tropical,727.4,174.4,0.9,42.5,0.7
Non-Dairy Smoothies,350,Cherry Granadillia,494.6,118.6,0.6,28.5,0.7
Non-Dairy Smoothies,350,Cherry Lemon,513.5,123.1,0.6,29.8,0.7
Non-Dairy Smoothies,350,Mixed Berry Mango,484.3,116.1,0.7,28.0,0.5
Non-Dairy Smoothies,350,Kiwi Litchi,500.4,120.0,0.8,28.7,0.9
Non-Dairy Smoothies,350,Tropical,509.1,122.1,0.6,29.8,0.5
Non-Dairy Smoothies,250,Cherry Granadillia,353.3,84.7,0.5,20.3,0.5
Non-Dairy Smoothies,250,Cherry Lemon,366.8,88.0,0.4,21.3,0.5
Non-Dairy Smoothies,250,Mixed Berry Mango,346.0,83.0,0.5,20.0,0.4
Non-Dairy Smoothies,250,Kiwi Litchi,357.4,85.7,0.6,20.5,0.6
Non-Dairy Smoothies,250,Tropical,363.7,87.2,0.4,21.3,0.3
Juices,500,Carrot orange,829.8,199.0,0.7,48.0,4.2
Juices,500,Green,683.9,164.0,0.9,38.4,4.3
Juices,500,Heart  Beet,1219.7,292.5,12.8,69.6,6.1
Juices,500,Grapefruit Carrot Apple,1067.5,256.0,0.9,62.1,3.8
Sandwiches,0,Chicken Avo Tomato,2211.4,530.3,20.0,53.4,28.8
Sandwiches,0,Chicken Bell Pepper Pesto,,,,,
Sandwiches,0,Chicken Mayo,2019.6,484.3,17.8,46.3,27.7
Sandwiches,0,Honey Mustard Chicken,3098.1,742.9,35.7,57.7,40.5
Sandwiches,0,Colourful Veggie,1829.2,438.7,19.1,54.1,11.6
Sandwiches,0,Chicken Mushroom & Cheese,1921.7,460.8,,,
Sandwiches,0,Jalapeno Ranch Chicken ,,,,,
Sandwiches,0,Spicy Mayo Chicken Sandwich,2136.4,512.3,18.0,53.0,28.5
Breakfasts,0,The Big One,,,,,
Breakfasts,0,Banting Breakfast,2916.9,699.5,52.9,16.7,45.8
Breakfasts,0,Light breakfast,1390.3,333.4,18.6,29.5,11.2
Breakfasts,0,Smoothie Bowl,,,,,
Breakfasts,0,Protein oats,2288.6,548.8,22.7,48.6,35.8
Breakfasts,0,Smashed Avo on Toast,850.7,204.0,9.0,27.0,4.8
Breakfasts,0,Breakfast wrap,2909.5,697.7,49.7,31.3,30.4
Breakfasts,0,Farmhouse Breakfast,2577.0,618.0,39.3,31.3,35.0
Breakfasts,0,Sunrise,1367.3,327.9,16.1,25.7,20.9
Breakfasts,0,Fully loaded breakfast,2083.2,499.6,28.7,33.7,31.4
Breakfasts,0,Oats & Honey,1889.6,453.1,7.6,76.2,13.9
Breakfasts,0,Omelette,2037.9,488.7,26.8,28.2,33.9
Breakfasts,0,Fruity Oats,2270.9,544.6,10.5,92.3,15.7
Breakfasts,0,Breakfast Bowl,1352.8,324.4,35.5,11.8,18.4
Salads,0,Chicken Grape Pecan,,,,,
Salads,0,Avo Halloumi Cucumber,,,,,
Salads,0,Asian Chicken,1491.6,357.7,16.3,24.5,29.3
Salads,0,Chicken & Avo,1621.1,388.7,25.0,14.7,25.9
Salads,0,Chicken Caesar Salad,1491.9,357.8,19.2,15.3,26.8
Salads,0,Falafel Salad,1847.0,442.9,36.3,24.0,8.8
Salads,0,Greek Salad Dressing,,,,,
Wraps,0,BBQ Chicken,,,,,
Wraps,0,Portuguese Chicken,,,,,
Wraps,0,Ranch Chicken,2508.1,601.5,35.0,28.5,35.3
Wraps,0,Mexican Chicken,1863.9,447.0,18.3,34.2,32.8
Wraps,0,Rainbow,,,,,
Wraps,0,Sweet Chilli Chicken & Avo,1748.3,419.3,18.2,27.9,32.1
Wraps,0,Thai Crunch Wrap,,,,,
Wraps,0,Chicken Caesar Wrap,1749.5,419.5,17.3,32.9,27.7
Wraps,0,Falafel Wrap,1995.8,478.6,31.1,39.9,11.3
Warm Meals,0,,,,,,
Warm Meals,0,"Chicken Brown Rice, Broccoli Bowl",1876.7,450.1,9.4,53.7,37.1
Warm Meals,0,Honey & Soy Thai Bowl,2865.0,687.0,25.9,78.7,36.9
Warm Meals,0,Halloumi Mushroom Sweet Chilli Bowl,2226.5,533.9,26.4,49.4,26.8
Warm Meals,0,Mexi Bowl,2397.5,574.9,21.2,62.2,32.4
Warm Meals,0,Burrito Wrap,2374.2,569.3,25.5,45.9,35.5
Warm Meals,0,Mushroom Ranch Wrap,,,,,
Warm Meals,0,Chicken Breast and Rice,1447.8,347.2,3.1,27.6,43.7
Warm Meals,0,Sriracha Beef Bowl,,,,,
Warm Meals,0,Spicy Mayo Chicken Avo Bowl,,,,,